parameter,value,unit,timestamp_raw,status_code,source_file,scenario,parameter_std,unit_std,station_code,station_name,domain,observed_at
Temp,18.2,oC,20260203124500,00,HN_PHCH_NUOPCH_20260203124500.txt,polluted,temperature,°C,HN_PHCH,Trạm HN_PHCH,water,2026-02-03 12:45:00
Temp,23.3262,oC,20260325000000,00,TB_CAPH_NUOSXL_20260325000000.txt,polluted,temperature,°C,TB_CAPH,Trạm TB_CAPH,wastewater,2026-03-25 00:00:00
Flowin,0.5833,m3/h,20260325000000,00,TB_CAPH_NUOSXL_20260325000000.txt,polluted,flow_in,m3/h,TB_CAPH,Trạm TB_CAPH,wastewater,2026-03-25 00:00:00
Flow_Out,11.217,m3/h,20260325000000,01,TB_CAPH_NUOSXL_20260325000000.txt,polluted,flow_out,m3/h,TB_CAPH,Trạm TB_CAPH,wastewater,2026-03-25 00:00:00
Amoni,6.5262,mg/l,20260325000000,01,TB_CAPH_NUOSXL_20260325000000.txt,polluted,ammonia,mg/L,TB_CAPH,Trạm TB_CAPH,wastewater,2026-03-25 00:00:00
COD,42.2453,mg/l,20260325000000,01,TB_CAPH_NUOSXL_20260325000000.txt,polluted,cod,mg/L,TB_CAPH,Trạm TB_CAPH,wastewater,2026-03-25 00:00:00
pH,5.2,,20260325000000,01,TB_CAPH_NUOSXL_20260325000000.txt,polluted,ph,-,TB_CAPH,Trạm TB_CAPH,wastewater,2026-03-25 00:00:00
TSS,72.5997,mg/l,20260325000000,01,TB_CAPH_NUOSXL_20260325000000.txt,polluted,tss,mg/L,TB_CAPH,Trạm TB_CAPH,wastewater,2026-03-25 00:00:00
Nhiệtđộ,44.9342,,20260325000000,00,TB_NMAM_KHIAMO_20260325000000.txt,polluted,temperature,-,TB_NMAM,Trạm TB_NMAM,stack_emission,2026-03-25 00:00:00
Flow,70859.6506,m3/h,20260325000000,01,TB_NMAM_KHIAMO_20260325000000.txt,polluted,flow,m3/h,TB_NMAM,Trạm TB_NMAM,stack_emission,2026-03-25 00:00:00
Ápsuất,100.5425,,20260325000000,00,TB_NMAM_KHIAMO_20260325000000.txt,polluted,pressure,-,TB_NMAM,Trạm TB_NMAM,stack_emission,2026-03-25 00:00:00
NH3,5.5503,mg/Nm3,20260325000000,01,TB_NMAM_KHIAMO_20260325000000.txt,polluted,nh3,mg/Nm3,TB_NMAM,Trạm TB_NMAM,stack_emission,2026-03-25 00:00:00
PM,17.208,mg/Nm3,20260325000000,01,TB_NMAM_KHIAMO_20260325000000.txt,polluted,pm,mg/Nm3,TB_NMAM,Trạm TB_NMAM,stack_emission,2026-03-25 00:00:00
